Date,Hour,Value,MonthBlock,IsCancelled,IsPrivate
2025-05-25,09:00:00,H,5,0,0
2025-05-25,09:00:00,P,5,0,0
2025-05-26,09:00:00,H,5,0,0
2025-05-26,09:00:00,WBD,5,0,0
2025-05-27,09:00:00,WBD,5,0,0
2025-05-28,09:00:00,H,5,0,0
2025-05-29,09:00:00,H,5,0,0
2025-05-29,09:00:00,M,5,0,0
2025-05-29,09:00:00,WBD,5,0,0
2025-05-30,09:00:00,H,5,0,0
2025-05-31,09:00:00,H,5,0,0
2025-05-31,09:00:00,WBD,5,0,0
2025-05-01,13:00:00,CANCELLED,5,1,0
2025-05-02,13:00:00,H!,5,0,0
2025-05-02,13:00:00,P,5,0,0
2025-05-03,13:00:00,H,5,0,0
2025-05-04,13:00:00,H!,5,0,0
2025-05-04,13:00:00,P,5,0,0
2025-05-05,13:00:00,EK,5,0,0
2025-05-06,13:00:00,H,5,0,0
2025-05-07,13:00:00,H,5,0,0
2025-05-08,13:00:00,CANCELLED,5,1,0
2025-05-09,13:00:00,CANCELLED,5,1,0
2025-05-10,13:00:00,H,5,0,0
2025-05-11,13:00:00,H!,5,0,0
2025-05-11,13:00:00,H,5,0,0
2025-05-12,13:00:00,H,5,0,0
2025-05-13,13:00:00,H,5,0,0
2025-05-13,13:00:00,M,5,0,0
2025-05-13,13:00:00,WBD,5,0,0
2025-05-14,13:00:00,H,5,0,0
2025-05-15,13:00:00,M!,5,0,0
2025-05-15,13:00:00,H!,5,0,0
2031-05-16,13:00:00,H,5,0,0
2031-05-16,13:00:00,M,5,0,0
2031-05-16,13:00:00,WBD,5,0,0
2025-05-17,13:00:00,WBD,5,0,0
2025-05-17,13:00:00,H,5,0,0
2025-05-18,13:00:00,H,5,0,0
2025-05-19,13:00:00,H,5,0,0
2025-05-20,13:00:00,H,5,0,0
2025-05-20,13:00:00,P,5,0,0
2025-05-21,13:00:00,H,5,0,0
2025-05-21,13:00:00,P,5,0,0
2025-05-22,13:00:00,CANCELLED,5,1,0
2025-05-23,13:00:00,H,5,0,0
2025-05-24,13:00:00,H,5,0,0
2025-05-24,13:00:00,WBD,5,0,0
2025-05-25,13:00:00,H,5,0,0
2025-05-26,13:00:00,H,5,0,0
2025-05-26,13:00:00,WBD,5,0,0
2025-05-27,13:00:00,H!,5,0,0
2025-05-28,13:00:00,H,5,0,0
2025-05-29,13:00:00,M,5,0,0
2025-05-29,13:00:00,H,5,0,0
2025-05-30,13:00:00,H,5,0,0
2025-05-31,13:00:00,PRIVATE,5,0,1
2025-05-15,17:00:00,CANCELLED,5,1,0
2031-05-16,17:00:00,H,5,0,0
2025-05-17,17:00:00,WBD,5,0,0
2025-05-17,17:00:00,M,5,0,0
2025-05-18,17:00:00,H,5,0,0
2025-05-18,17:00:00,M,5,0,0
2025-05-18,17:00:00,P,5,0,0
2025-05-19,17:00:00,WBD,5,0,0
2025-05-20,17:00:00,H,5,0,0
2025-05-21,17:00:00,H,5,0,0
2025-05-21,17:00:00,P,5,0,0
2025-05-22,17:00:00,CANCELLED,5,1,0
2025-05-23,17:00:00,CANCELLED,5,1,0
2025-05-24,17:00:00,H,5,0,0
2025-05-24,17:00:00,P,5,0,0
2025-05-26,17:00:00,PRIVATE,5,0,1
2025-05-27,17:00:00,H,5,0,0
2025-05-28,17:00:00,PRIVATE,5,0,1
2025-05-29,17:00:00,H,5,0,0
2025-05-29,17:00:00,WBD,5,0,0
2025-05-30,17:00:00,H,5,0,0
2025-05-31,17:00:00,H,5,0,0
2025-06-01,09:00:00,H,6,0,0
2025-06-02,09:00:00,CANCELLED,6,1,0
2025-06-03,09:00:00,CANCELLED,6,1,0
2025-06-04,09:00:00,CANCELLED,6,1,0
2025-06-05,09:00:00,CANCELLED,6,1,0
2025-06-06,09:00:00,H,6,0,0
2025-06-07,09:00:00,H,6,0,0
2025-06-07,09:00:00,M,6,0,0
2025-06-07,09:00:00,WBD,6,0,0
2025-06-08,09:00:00,H,6,0,0
2025-06-09,09:00:00,WBD,6,0,0
2025-06-09,09:00:00,H,6,0,0
2025-06-10,09:00:00,H,6,0,0
2025-06-11,09:00:00,H,6,0,0
2025-06-11,09:00:00,WBD,6,0,0
2025-06-11,09:00:00,M,6,0,0
2025-06-12,09:00:00,H,6,0,0
2025-06-13,09:00:00,H,6,0,0
2025-06-14,09:00:00,M,6,0,0
2025-06-14,09:00:00,H,6,0,0
2025-06-15,09:00:00,H,6,0,0
2025-06-15,09:00:00,WBD,6,0,0
2025-06-16,09:00:00,WBD,6,0,0
2025-06-16,09:00:00,H,6,0,0
2025-06-16,09:00:00,H!,6,0,0
2025-06-17,09:00:00,H,6,0,0
2025-06-17,09:00:00,M,6,0,0
2025-06-17,09:00:00,WBD,6,0,0
2025-06-18,09:00:00,H,6,0,0
2025-06-19,09:00:00,M,6,0,0
2025-06-19,09:00:00,P,6,0,0
2025-06-19,09:00:00,H!,6,0,0
2025-06-19,09:00:00,WBD,6,0,0
2025-06-20,09:00:00,H,6,0,0
2025-06-20,09:00:00,WBD,6,0,0
2025-06-21,09:00:00,PRIVATE,6,0,1
2025-06-22,09:00:00,H,6,0,0
2025-06-22,09:00:00,WBD,6,0,0
2025-06-23,09:00:00,H,6,0,0
2025-06-24,09:00:00,H,6,0,0
2025-06-24,09:00:00,WBD,6,0,0
2025-06-25,09:00:00,H,6,0,0
2025-06-26,09:00:00,H,6,0,0
2025-06-26,09:00:00,M,6,0,0
2025-06-26,09:00:00,WBD,6,0,0
2025-06-26,09:00:00,P,6,0,0
2025-06-27,09:00:00,PRIVATE,6,0,1
2025-06-28,09:00:00,H,6,0,0
2025-06-29,09:00:00,H!,6,0,0
2025-06-29,09:00:00,M,6,0,0
2025-06-29,09:00:00,WBD,6,0,0
2025-06-30,09:00:00,H,6,0,0
